CASE,QUESTNNR,RG02_01,TR02_01,response
1987,colombia,1,Los mismos se juntan con los mismos para perpetuar el poder entre los mismos.,1
1990,colombia,1,"En las elecciones generales en Colombia el domingo 13 de marzo de 2022, 20 partidos retuvieron escaños en el congreso.",0
2000,colombia,1,"Los colombianos son los que supuestamente eligen los candidatos a los puestos del congreso de la republica, pero no siempre es asi, ya que la corrupcion estara presente.",1
2006,colombia,1,"El voto ciudadano se polarizo de alguna manera logrando que esos partidos politicos siguieran en sus puestos, o lo otro es que hubo corrupcion en la votacion, no se puede decir otra cosa",1
2008,colombia,1,ELECCIONESCOLOBIA,3
2021,colombia,1,Habrá lucha entre los curules que faltan ya que la intención es obtener el poder y el puesto,1
2022,colombia,1,"Compra de votos por los mismos partidos que siempre quedan, lo que se resumen en la misma corrupción y falta de conciencia de la gente.",1
2023,colombia,1,No hay ninguna democracia,1
2024,colombia,1,"Pues, creo que no saldríamos de las mismas personas que cobran un salario mensual de 32 millones cuando no trabajan y a los colombianos les suben 30 mío pesos y eso desabilitara la economía creería yo que debería cambiar las personas del congreso y reformar todo",1
2025,colombia,1,Trabajo político<br>Reconocimiento<br>,3
2028,colombia,1,Los mismos partidos de siempre al poder. Nada cambia en la política de Colombia.,1
2031,colombia,1,elecciones generales este domingo 13 de marzo de 2022 para congreso de la republica,0
2032,colombia,1,corupcion total,1
2040,colombia,1,desconfianza y fraude electoral,1
2042,colombia,1,"Las elecciones son programadas el 13 de marzo de 2022, y van a votar 36 millones de colombianos",0
2043,colombia,1,20 Partidos politicos se mantienen en el congreso<br><br>El pueblo reelige y da la confianza a sus actuales dirigentes,0
2132,colombia,1,"La elecciones en colombia es tan programadas para el 2022. Seràn màs de 1,000 candidatos quieren el puesto del congreso de ls república de 280 puestos. Sera por más de 36 millónes de colombianos.",0
2141,colombia,1,Hubo Corrupcion a mi parecer,1
2161,colombia,1,Quedaron los partidos de siempre en las ultimas elecciones.,1
2164,colombia,1,Las elecciones están programadas para el 13 de marzo de 2022 y los resultados estarán determinados por 36 millones de Colombianos.,0
2167,colombia,1,mermelada politica,1
2169,colombia,1,Si no se saca toda la madera dañada de la casa seguirán ahí las termitas,1
2171,colombia,1,creo que sigue el mal gobierno porque las personas no escogen a conciencia y se dejan comprar<br>siguimos iguales hasta que realmente el pueblo escoja la opcion del candidato del pueblo,1
2216,colombia,1,"En Colombia la gente vota por los mismos corruptos, compran su voto con dinero o comida.",1
2219,colombia,1,"creo que la politoca en Colombia no cambiaria de esta manera, Colombia necesita un cambio real.",1
2221,colombia,1,ESTO SIGUE SIENDO EL MISMO CUENTO..,1
2223,colombia,1,Las elecciones siempre son lo mismo,1
2224,colombia,1,"Más de 36 millones de colombianos tendrán la posibilidad de elegir entre más de 1,000 candidatos para los 280 puestos del Congreso de la República. Estas elecciones se llevarán a cabo el domingo 13 de marzo de 2022",0
2225,colombia,1,Robo.,1
2228,colombia,1,Seguiria estando presente la baja participacion y permeabilidad,1
2246,colombia,1,el texto hace refencia a las elecciones del 2022 que han tenido un fraude y por eso es llevado a jucio,3
2286,colombia,1,corrupcion en las elecciones generales de colombia,1
2294,colombia,1,En las elecciones generales de Colombia se estimula un alrededor de 36 millones de votos para 280 puestos en el Congreso de la República.,0
2295,colombia,1,En las votaciones del 13 de marzo de 2022 20 partidos consiguieron puestos en el congreso.,0
2325,colombia,1,por corrupcion tuvieron ciertos errores,3
2330,colombia,1,Los puestos en el congreso seran elegidos por los colombianos. ¿pero las elecciones seran limpias?,1
2336,colombia,1,"Realmente hay un efecto de retencion del poder en donde no se amplia el panorama a nuveas opciones, se evidencia un estancamiento en la politica ya que no se permite tener alternativas sino las mismas doctrinas ideologicas una y otra vez.",1
2339,colombia,1,las mismas bancadas politicas y más aún los mismos personajes politicos retienen una vez mas su puesto en el congreso de la república,1
2342,colombia,1,Los Colombianos van a tomar mejores desiciones politicamente.<br>Son muchos partidos politicos para legislar un paìs,1
2347,colombia,1,No le beneficiaria para nada al pais,1
2392,colombia,1,Las pasadas elecciones dejaron varios escaños dentro del congreso,1
2412,colombia,1,las elecciones para los congresistas fueron tomadas por la voz y voto de los colombianos,0
2415,colombia,1,"Se realizaron las elecciones del año 2022 donde el pueblo asumio su papel y reconoció que debe apropiarse de los espacios politicos para generar un cambio, la mayoria de los colombianos participó en las elecciones",0
2613,colombia,1,"El panorama político no ha cambiado, ya que los veinte partidos que retuvieron escaños en el Congreso, siguen teniendo la mayoría del poder.",1
2623,colombia,1,"En las elecciones del pasado domingo 13 de marzo de 2022, al rededor de 1.000 candidatos concursaron por los 280 puestos del Congreso de la Republica, en donde aproximadamente 36 millones de Colombianos ejercieron su derecho al voto, arrojando como resultado, que veinte partidos politicos tuvieron escaños en dicha institucion.",0
2624,colombia,1,Diría que hubo corrupción teniendo en cuenta que la gente quiere un cambio y aún están los mismos en los puestos.,1
2631,colombia,1,"Hubo corrupción en las elecciones, ya que no se generó el cambio del voto popular",1
2636,colombia,1,Vinculación mediante influencias poderosas.,1
2664,colombia,1,todas las 280 aspirantes para el congreso seran determinados por el pueblo colombiano por loque no habran ayudas de partidos politicos sera democracia.,1
2675,colombia,1,Hay muchos candidatos impugnado los resultados al no estar de acuerdo con los conteos finales,1
2678,colombia,1,"Seria un gran avance para Colombia, a los congresistas les pagan un sueldo demasiado alto e innecesario, ya que estos no aportan nada al pais y a las personas que habitamos en èl. Es momento de disminuir en una cifra realmente significativa el numero de puestos para el congreso.",1
2690,colombia,1,Hay mucha corrupción.,1
2713,colombia,1,SE REALIZO NUEVAMNETE LA ELECCION DE  LOS REPRESENTANTES AL CONGRESO DE LA REPUBLICA Y  COMO SIEMPRE NO SE ELIGIO SABIAMENTE Y BAJO CRITERIOS HONESTOS .,1
2714,colombia,1,unas convocatoria a votar por los mismos partidos que ase adueñan de los cargos politicos y un pueblo que busca soluciones y cae en el mismo engaño.,1
2730,colombia,1,Las elecciones de Colombia se harán el 13 de mayo del 2022 y más de 1.000 personas participaran por 280 puestos.<br>Los resultados se daran por la comunidad colombiana que equivale a 36 millones,0
2738,colombia,1,corrupcion en la totalidad del proceso para las elecciones,1
2754,colombia,1,Es necesario un cambio.,1
2758,colombia,1,"Si se mantuvieron los mismos partidos en el congreso, entonces serán otros 4 años de corrupción.<br>Siempre mantengo la esperanza de que haya un cambio político y se vea el progreso.",1
2766,colombia,1,corrupcion,1
2791,colombia,1,todo esta arreglado,3
2799,colombia,1,los mismos partidos políticos y las mismas personas se quedan con las posiciones de poder dentro de nuestro país.,1
2804,colombia,1,"eso ocurrio en mi pais, hicieron fraudes con los votos, las convocatorias tuvieron escaños y por eso hubo votos fraudolentos. no es primero vez que colombia pasa por casos como este, solo que en el 2018 se vio claramente los fraudes gracias a los colombianos que investigaron de ello",1
2806,colombia,1,hay que saber que todo lleva una consecuencia,1
2817,colombia,1,Mucha corrupcion a la hora de votar <br><br>Muchas propuestas engañosas,1
2837,colombia,1,"En las elecciones del domingo 13 de marzo del 2022, 36 millones elejimos a 280 congresistas de entre mil candidatos, donde 20 partidos retuvieron escaños",0
2852,colombia,1,"En las próximas elecciones en Colombia se determinarán los 280 puestos del Congreso. Y una vez más se mantienen los de siempre, por la corrupción.",1
2855,colombia,1,Que  las elecciones son  el 13 de marzo del 2022,0
2869,colombia,1,Pronto serán las elecciones<br>Y ya sabemos quienes son los nuevos en el gobierno,1
2875,colombia,1,Pues se le ve la corrupcion y la retencion a no soltar siertos puestos,1
2900,colombia,1,Las elecciones ya pasaron y en la actual convocatoria un total de 20 partidos tuvieron escaños en el congreso.,0
2915,colombia,1,.,3
2924,colombia,1,"Corrupción, soborno y compra de votos <br>",1
2946,colombia,1,"Los colombianos eligieron a 280 congresistas, de los cuales 20 partidos retuvieron escaños.",0
3043,colombia,1,Es muy necesario que la poblacion vote por su candidato para que no haigan en gallos,1
3044,colombia,1,Tráfico de influencias,1
3063,colombia,1,"Las elecciones son el 13 de marzo de 2022, hay concurso para 280 puestos del congreso",0
3065,colombia,1,en las pasadas elecciones del 13 de marzo 20 partidos politicos lograron retener sus escaños en el congreso,0
3070,colombia,1,"Dicho caso sería de nuevo una pérdida de dinero, ya que una gran cantidad de personas con escaños en el congreso no van a significar una buena calidad de liderazgo",1
3097,colombia,1,las pasadas elecciones del 13 de marzo 20 partidos lograron retener sus escaños en el congreso,0
3109,colombia,1,"Cada una de las propuestas planteadas por los candidatos para los puestos del congreso, son el objetivo por el cual cada uno de los votantes de inclina. Lo quen quiere decir que si las difentes propuestas etán dirigidas al desarrollo social , desde cada uno de sus diversas variables (ecnonomía, empleo. educación, etc. ) y se trabaja en ello, los votantes encontrarán reconfortamiento por su buena elección.",1
3117,colombia,1,En Colombia se tiene previsto que se presenten más de 1000 candidatos en las elecciones generales del siguiente año.<br><br>,0
3119,colombia,1,por mas presindestes que elijan en nuestro pais la corrupcion siempre va estar nunca va a cambiar,1
3139,colombia,1,Sigue la corrupcion,1
3143,colombia,1,En la eleccion anteion los resultados fueron determinados por  36 miliones de Colombianos y en las elecciones actuales veinte partidos mantuvieron su puesto en el congreso <br>,0
3145,colombia,1,corrupcion,1
3148,colombia,1,"generales en Colombia están programadas para el domingo 13 de marzo de 2022. Se espera que más de 1,000 candidatos registrados van a Imagínese que las elecciones ya pasaron y suponga que, como en la actual convocatoria, magínese que las elecciones ya pasaron y suponga que, como en la actual convocatoria,",2
3168,colombia,1,La corrupción y los sobornos llevarán al poder al que mas dinero tenga para regalar.,1
3192,colombia,1,Que todo se haga sin corrupción,1
3208,colombia,1,"Si los partidos de la oposición al centro democrático y a los partidos del gobierno no logran sacar la mayoría en el congreso, no se obtendrán las ventajas de que seleccionemos un gobierno nuevo que pueda solucionar o mejorar mucho las dificultades por las que atraviesa el país.<br>Es necesario que las fuerzas de izquierda y centro se unan para esas elecciones.",1
3209,colombia,1,Al realizar nuevamente las elecciones en Colombia en el 2022 quedaran 20 partidos asumiendo puestos en el congreso.,0
3886,colombia,1,los diferntes pártidos partidos politicas de colombia tuvieron un puesto en el congreso.,0
3887,colombia,1,"va seguir lo mismo la misma corrupcion, es congreso deberia reducirse y dejar 32  representantes",1
3916,colombia,1,"De acuerdo a las elecciones pasadas, el congreso se mantiene polarizado por los mismos partidos políticos, es decir que la política colombiana no presenta mejoría, no hay cambios en quienes gobiernan al país.",1
3917,colombia,1,Las elecciones en Colombia están programado el 13 de marzo de 2022 más de 1.000 candidatos van a pelear para obtener su respectivo puesto por cada uno de 280 puestos.<br>Lo cual se espera que más de 36 millones de colombianos elija sus próximos gobernantes en los próximos 4 años,0
3918,colombia,1,"este pais necesita un cambio urgentemente , en caso de que se retengan partidos es solo una muestra de la corrupcion , el pueblo pide cambio radical en el congreso . en consecuencia a eso se exige un cambio total de los integrantes y partidos",1
3931,colombia,1,los 36 millones de colombianos entraran a elegir los 280 puestos del congreso el 13 de marzo del 2022<br>,0
3937,colombia,1,"La corrupción continúa vigente años después, aún del levantamiento del pueblo",1
3938,colombia,1,El gobierno a partir del 2022 sería similar a los anteriores,0
3961,colombia,1,La mayoría de decisiones serán tomadas por un partido con una ventaja de veinte escaños,1
3963,colombia,1,Que ya se tienen puestos fijados con engaños y mostrar que todo fue legítimo,1
3984,colombia,1,Corrupcion Colombiana<br>Mucha mermelada en el gobierno,1
3995,colombia,1,el pais se va a la chingada si seguimos eligiendo a los mismos,1
3997,colombia,1,Se seguirán probando la plata del pueblo<br>Seguirá la corrupción,1
4008,colombia,1,Hubo un escenario donde no primaron los partidos de siempre y se pudiera decir que hay menos poder de los partidos mayoritarios que llegan por medio de la corrupción.,1
4009,colombia,1,la decision se basara en cada una de las personas que realicen su eleccion y eso decidira el resultado y rumbo del pais,1
4011,colombia,1,Se da informacion de las proximas elecciones y la suposicion de que 20 partidos ocuparon un asiento politico en el congreso.,0
