CASE,QUESTNNR,RG02_01,TR02_01,attention_check
1987,colombia,1,Los mismos se juntan con los mismos para perpetuar el poder entre los mismos.,Response
1990,colombia,1,"En las elecciones generales en Colombia el domingo 13 de marzo de 2022, 20 partidos retuvieron escaños en el congreso.",Summary
2000,colombia,1,"Los colombianos son los que supuestamente eligen los candidatos a los puestos del congreso de la republica, pero no siempre es asi, ya que la corrupcion estara presente.",Response
2006,colombia,1,"El voto ciudadano se polarizo de alguna manera logrando que esos partidos politicos siguieran en sus puestos, o lo otro es que hubo corrupcion en la votacion, no se puede decir otra cosa",Response
2008,colombia,1,ELECCIONESCOLOBIA,Unacceptable
2021,colombia,1,Habrá lucha entre los curules que faltan ya que la intención es obtener el poder y el puesto,Response
2022,colombia,1,"Compra de votos por los mismos partidos que siempre quedan, lo que se resumen en la misma corrupción y falta de conciencia de la gente.",Response
2023,colombia,1,No hay ninguna democracia,Response
2024,colombia,1,"Pues, creo que no saldríamos de las mismas personas que cobran un salario mensual de 32 millones cuando no trabajan y a los colombianos les suben 30 mío pesos y eso desabilitara la economía creería yo que debería cambiar las personas del congreso y reformar todo",Response
2025,colombia,1,Trabajo político<br>Reconocimiento<br>,Unacceptable
2028,colombia,1,Los mismos partidos de siempre al poder. Nada cambia en la política de Colombia.,Response
2031,colombia,1,elecciones generales este domingo 13 de marzo de 2022 para congreso de la republica,Summary
2032,colombia,1,corupcion total,Response
2040,colombia,1,desconfianza y fraude electoral,Response
2042,colombia,1,"Las elecciones son programadas el 13 de marzo de 2022, y van a votar 36 millones de colombianos",Summary
2043,colombia,1,20 Partidos politicos se mantienen en el congreso<br><br>El pueblo reelige y da la confianza a sus actuales dirigentes,Summary
2132,colombia,1,"La elecciones en colombia es tan programadas para el 2022. Seràn màs de 1,000 candidatos quieren el puesto del congreso de ls república de 280 puestos. Sera por más de 36 millónes de colombianos.",Summary
2141,colombia,1,Hubo Corrupcion a mi parecer,Response
2161,colombia,1,Quedaron los partidos de siempre en las ultimas elecciones.,Response
2164,colombia,1,Las elecciones están programadas para el 13 de marzo de 2022 y los resultados estarán determinados por 36 millones de Colombianos.,Summary
2167,colombia,1,mermelada politica,Response
2169,colombia,1,Si no se saca toda la madera dañada de la casa seguirán ahí las termitas,Response
