"CASE","SERIAL","REF","QUESTNNR","MODE","LANGUAGE","STARTED","PA01","PA18","PA05_01","PA05_02","PA05_03","PA05_04","PA05_05","PA05_06","PA20_01","PA20_02","PA20_03","PA20_04","PA20_05","PA20_06","PA14","PA12","PA17","PA07_01","PA19_01","PA08_01","PA23_01","PA15","PA22","PA16","TR02_01","TR03","TR16","TR04_01","TR04_02","TR04_03","TR04_04","TR04_05","TR04_06","TR04_07","TR04_08","TR11_01","TR11_02","TR11_03","TR11_04","TR11_05","TR11_06","TR11_07","TR11_08","TR05_02","TR05_03","TR05_04","TR05_05","TR05_06","TR05_07","TR06","TR17","SD01","SD03_01","SD04","SD07","SD09","SD17","SD15","SD12","SD14","SD16","GT01","GT02","RG02_01","RG11_01","RG12_01","RG09","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI","DEG_TIME"
415,,,"mexico","interview","spa",2021-04-08 16:51:22,2,,4,4,4,1,1,2,,,,,,,,1,,3,,10,,4,,2,"las personas que perderan su empleo seran recompensadas con otro empleo en otra institucion, posiblemente con mejor sueldo y de base, la corrupcion ha llegado a todos los estratos de la vida nacional",4,,2,1,2,1,1,1,1,1,,,,,,,,,1,1,2,2,1,2,2,,2,39,,4,-9,,1,2,6,2,2,,"3",,,1,3,20,36,83,36,34,63,275,,2021-04-08 16:55:57,1,0,7,7,3,3,1.73,47
417,,,"mexico","interview","spa",2021-04-08 17:25:17,1,,1,1,2,2,2,2,,,,,,,,7,,6,,9,,2,,1,"Ocho partidos retuvieron escaños en la Asamblea, en 2021.",1,,3,3,3,3,3,3,4,3,,,,,,,,,3,3,4,4,3,3,1,,2,34,,3,1,,1,1,8,2,1,,"1",,,1,12,14,14,103,29,9,22,203,,2021-04-08 17:28:40,1,0,7,7,0,0,2.22,90
418,,,"mexico","interview","spa",2021-04-08 17:30:42,2,,5,4,5,1,1,2,,,,,,,,10,,3,,10,,3,,2,"Después de las elecciones se descubre sobre fraude electoral realizado por personas en las comisiones electorales de distintos lugares del pais. ",3,,2,2,2,2,1,2,2,2,,,,,,,,,2,2,3,3,3,3,2,,1,23,,2,2,,5,1,7,2,2,,"2",,,1,24,28,57,81,52,41,47,330,,2021-04-08 17:36:12,1,0,7,7,0,0,1.14,10
483,,,"mexico","interview","spa",2021-04-08 18:54:14,4,,5,5,5,1,5,3,,,,,,,,10,,3,,10,,3,,1,"Ocurrieron las elecciones federales de 2021 y ocho partidos políticos ganaron puestos en el congreso. ",3,,1,1,2,1,1,1,1,1,,,,,,,,,1,1,3,4,2,2,2,,2,28,,3,2,,5,1,5,2,1,,"1",,,1,11,17,46,269,60,39,44,486,,2021-04-08 19:02:21,1,0,7,7,0,0,1.24,16
577,,,"russia","interview","rus",2021-04-08 21:41:04,4,,2,5,5,5,5,4,,,,,,,1,,,-1,,8,,-1,,-1,"19 ???????? 2021 ???? ??????? ??????.?????????? ????? ????? 110 ????????? ???????",1,,4,4,3,3,3,3,3,4,,,,,,,,,2,2,3,3,2,3,-1,,2,31,10,4,3,,1,1,,1,2,,"1",,,1,7,18,34,55,43,25,38,220,,2021-04-08 21:44:44,1,0,7,7,0,0,1.83,42
578,,,"russia","interview","rus",2021-04-08 21:41:04,2,,-9,5,-9,5,-9,-9,,,,,,,4,,,10,,8,,2,,2,"????????? ?????? ????????? ??????????????? ????.??????????? ???????? ????????? ??? ???????????.",3,,2,2,2,3,2,1,1,3,,,,,,,,,1,1,1,1,2,1,2,,1,46,10,4,1,,3,1,,2,2,,"3",,,1,22,33,53,131,59,23,58,379,,2021-04-08 21:47:23,1,0,7,7,10,10,1.12,9
581,,,"russia","interview","rus",2021-04-08 21:41:06,2,,-9,5,5,5,-9,-9,,,,,,,3,,,7,,6,,2,,-1,"?? ??????? ????? ???????? ?????????????. ???????? ?????? ??????? ??????????? ??? ????? ??????.",2,,4,3,3,4,3,3,3,4,,,,,,,,,2,2,2,2,2,2,3,,2,51,7,2,5,,2,1,,1,2,,"2",,,1,27,56,59,198,87,42,74,543,,2021-04-08 21:50:09,1,0,7,7,8,7,0.77,0
583,,,"russia","interview","rus",2021-04-08 21:41:08,2,,1,5,4,5,4,4,,,,,,,3,,,4,,9,,3,,1,"19 ???????? 2021 ???? ?????? ????????? ???.  ????. ?? ?????????? ??????? ????? ???????? ? ???????? ??????????, ??????? ?????????? ? ????????????? ??????????? ???????? ???????. ??????????, ????? ?????????, ???? ????????? ?? ??????? ????????.",3,,3,3,2,2,2,2,3,3,,,,,,,,,-1,3,3,-1,-1,-1,2,,1,32,7,4,4,,3,1,,1,2,,"3",,,1,137,73,57,221,58,41,51,514,,2021-04-08 21:51:46,1,0,7,7,0,0,0.81,4
584,,,"russia","interview","rus",2021-04-08 21:41:09,1,,5,4,4,5,5,4,,,,,,,3,,,4,,3,,3,,2,"? ???????? 2021 ???? ??????? ?????? ? ???????, ?????? ? ??? 4 ??????",1,,4,4,4,3,3,3,4,4,,,,,,,,,2,2,1,3,1,1,3,,2,37,8,1,3,,1,1,,2,1,,"1",,,1,5,43,44,66,63,29,43,293,,2021-04-08 21:46:02,1,0,7,7,0,0,1.54,29
585,,,"russia","interview","rus",2021-04-08 21:41:09,1,,1,1,1,5,1,1,,,,,,,15,,,4,,4,,3,,2,"? ???????? ???? ??????? ????? ????? ?????????? ?????? ??????? ????? ?? ?????? ????????? ? ??????? ??.",1,,4,4,4,3,3,3,4,4,,,,,,,,,3,3,2,3,1,1,3,,2,37,7,4,2,,5,1,,2,2,,"1",,,1,25,21,57,139,64,40,41,387,,2021-04-08 21:47:36,1,0,7,7,0,0,1.1,9
